会社名,部署,担当者,事業内容,課題仮説,HP,フォームURL
株式会社GENZ,開発部,ご担当者,Webアプリ・サービス運営（ITコンサル・人材派遣）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,http://www.genz.jp/company-profile/,https://www.genz.jp/contact/
ポスタス株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（Webアプリ・サービス運営）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模50億円以上300億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.postas.co.jp/corporate/,https://www.postas.co.jp/inquiry/
株式会社インフォマティクス,開発部,ご担当者,Webアプリ・サービス運営（受託開発）を手がける企業。本社神奈川県。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,http://www.informatix.co.jp/,https://www.informatix.co.jp/contact-us/
株式会社トラストバンク,開発部,ご担当者,Webアプリ・サービス運営（セミナー・その他IT・イベント）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模50億円以上300億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.trustbank.co.jp/about/,https://www.trustbank.co.jp/page-contact.php
株式会社コンカー,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.concur.co.jp/about,https://www.concur.co.jp/contact
株式会社カカオピッコマ,開発部,ご担当者,Webアプリ・サービス運営（書籍・メディア販売・デジタル系コンテンツ）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模50億円以上300億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.kakaopiccoma.com/about,http://www.kakao.co.jp/contact/#person
株式会社シーエスアイ,開発部,ご担当者,Webアプリ・サービス運営（ソフトウェア販売・その他IT・受託開発）を手がける企業。本社北海道。従業員50人以上300人未満。売上規模50億円以上300億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://www.csiinc.co.jp/company/profile/,https://www.csiinc.co.jp/inquiry/
株式会社ビットキー,開発部,ご担当者,クラウド系/SaaS/ASPサービス（Webアプリ・サービス運営・その他機械）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模50億円以上300億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://bitkey.co.jp/about/,https://bitkey.co.jp/contact/
株式会社日立ハイテク九州,情報システム部,ご担当者,医療機器（その他製造・試験機・化学機器）を手がける企業。本社福岡県。従業員50人以上300人未満。売上規模50億円以上300億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.hitachi-hightech.com/hhq/about/corporate/profile.html,https://www8.hitachi.co.jp/inquiry/hitachi-hightech/hhq/about/general/form_input.jsp
株式会社ZEALS,開発部,ご担当者,Webアプリ・サービス運営（Webマーケコンサル・総合広告代理店）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模50億円以上300億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://careers.zeals.ai/about,http://zeals.co.jp/contact/?request
